name,address,email,website,phone,postalCode
Restaurant zur Alten Eiche,"Sägastrasse 29, 9495 Triesen",,,+4233922686,9495
Schäfle,"Landstrasse 266, 9495 Triesen",,,+4233923818,9495
Osteria Adler,"Landstrasse 289, 9495 Triesen",adler1@hotmail.ch,,+4233926600,9495
Restaurant Vivid,"Landstrasse 80, 9495 Triesen",vivid.triesen@gmail.com,,+4237917009,9495
Santana,"Landstrasse 110, 9495 Triesen",,,+4233923355,9495
Mab's Cafe,"Landstrasse 292, 9495 Triesen",,,+4233921314,9495
McDonald's Restaurant,"Industriestrasse 3, 9495 Triesen",,,+4233993311,9495
Red Mango Thai Restaurant,"Landstrasse 91, 9495 Triesen",,,+4233925588,9495
Restaurant Swarovski Triesen,"Dröschistrasse 15, 9495 Triesen",,,+4233995467,9495
Il Salento,"Landstrasse 93, 9495 Triesen",ilsalento.triesen@gmail.com,,+41796891090,9495
LoVino Weinbar Karin M. Meier,"Landstrasse 1, 9495 Triesen",karin@lovino.li,,+41788579397,9495
Eredi Fiorini Gastronomia Italiana,"Gässle 5, 9495 Triesen",erediflorini@adon.li,,+4233921333,9495
Frommelt Gaston,"Landstrasse 261, 9495 Triesen",,,+4233922507,9495
Hornli Grill,"Austrasse, 9495 Triesen",,,+4237946062,9495
Sweet Heaven,"St. Wolfgangstrasse 30, 9495 Triesen",,,+41788900917,9495
Take 5 Club Lounge,"Landstrasse 1, 9495 Triesen",,,+41786314280,9495
Hotel Meierhof,"Meierhofstrasse 15, 9495 Triesen",,,+4233990011,9495
