name,address,email,website,phone,postalCode
Café Restaurant Quai de l'Ours,"Route de la Gare 25, 1937 Orsières",,http://terminus-orsieres.ch/restaurant,+41275521101,1937
Auberge Café de la Place,"Place Centrale 7, 1937 Orsières",pintoret11@gmail.com,https://aubergecafedelaplace.ch/,+41787755160,1937
Le Catogne,"La Douay 12, 1937 Orsières",le.catogne@outlook.com,http://www.giteserge.ch/,+41277831230,1937
Union,"Rue de la Commune 14, 1937 Orsières",info@fauland.ch,,+41277831138,1937
Café de Somlaproz,"Somlaproz 106, 1937 Orsières",,,+41277831528,1937
Café des Mésanges,"Route de la Cotze 2, 1937 Orsières",,,+41277831141,1937
Tea Room Le Carillon,"Ruelle de la Laiterie 11, 1937 Orsières",,,+41277832080,1937
Le Chapelet,"Case postale, 1937 Orsières",,,+41277831616,1937
Café-Restaurant du Châtelet,"Issert 3, 1937 Orsières",,,+41786732657,1937
Restaurant-Pizzeria Le Saint-Bernard,"Rue du Châtelard 20, 1937 Orsières",,,+41277831208,1937
