name,address,email,website,phone,postalCode
Golderli,"Gorneren, 3723 Kiental",mail@golderli.ch,,+41336762192,3723
Bundalp,"Bundalp 1005, 3723 Kiental",info@bundalp.ch,,+41336761192,3723
Berghaus Ramslauenen,3723 Kiental,,,+41336762226,3723
Alpenruh,"Griesalpstrasse 843, 3723 Kiental",info@alpenruh-kiental.ch,http://www.alpenruh-kiental.ch/,+41336761135,3723
Hotel Waldrand-Pochtenalp,"Pochtenalp 3, 3723 Kiental",,http://www.nostalgiehotel.ch/,+41336761208,3723
CPB AG,"Griesalpstrasse 99, 3723 Kiental",,,+41336761235,3723
Restaurant Bären,3723 Kiental,info@baerenkiental.ch,,+41336761121,3723
Gspaltenhornhütte Restaurant,"Gornernbach 100, 3723 Kiental",info@gspaltenhornhuette.ch,,+41336761629,3723
Gamchi,"Griesalp 5, 3723 Kiental",,,,3723
Historisches Hotel Bären,"Griesalpstrasse 60, 3723 Kiental",info@baerenkiental.ch,,+41336761121,3723
