name,address,email,website,phone,postalCode
Restaurant de l'Ours,"Passage de l'Ours 1, 2740 Moutier",info@ours-moutier.ch,http://ours-moutier.ch/,+41325360631,2744
le Tabou,"Rue de la Prévôté 9, 2740 Moutier",,http://www.le-tabou.ch/,+41324936171,2744
Vivaldi Restaurant Pizzeria,"Rue Centrale 53, 2740 Moutier",,http://www.juragourmand.ch/vivaldi,+41323411819,2744
Maison des Brochettes,"Rue Centrale 70, 2740 Moutier",,http://www.juragourmand.ch/maisondesbrochettes-moutier,+41325364515,2744
Le Soleil,"Rue de l'Hôtel-de-Ville 7, 2740 Moutier",,http://www.le-soleil.ch/,+41324934090,2744
Burger Bar Chez Claudy Rumo,"Avenue de la Liberté 18, 2740 Moutier",cr.rumo@gmail.com,,+41324931515,2744
Amici della Casa,"Avenue de la Gare 9, 2740 Moutier",,,+41324934038,2744
Buffet express CFF,"Avenue de la Gare, 2740 Moutier",,,+41324933232,2744
Il Capriccio Di Marzo Alberto,"Rue des Oeuches 10, 2740 Moutier",,,+41324931313,2744
Le Colibri Pizza & Kebab,"Rue Centrale 13, 2740 Moutier",,,+41324932811,2744
Restaurant Le Signal,"Raimeux de Grandval 95, 2745 Grandval",,,+41324932807,2744
Hôtel Restaurant de la Gare,"Avenue de la Gare 19, 2740 Moutier",,,+41324931031,2744
Krua Chao Phraya,"Rue Centrale 78, 2740 Moutier",,,+41324931037,2744
"Restaurant ""Associação Portuguesa de Moutier""","Rue de Soleure 25, 2740 Moutier",,,+41324931855,2744
Restaurant Da Vinci,"Rue de l'Hôtel-de-Ville 6, 2740 Moutier",,,+41324933653,2744
Restaurant De La Croix Blanche,"Grand-Rue 50, 2746 Crémines",,,+41324990054,2744
Restaurant du Cheval Blanc,"Rue Centrale 52, 2740 Moutier",lechevalblanc@bluewin.ch,,+41324931044,2744
Joshi Pizza & Kebab,"Avenue de la Liberté 24, 2740 Moutier",,,+41324936580,2744
des Gorges,"Rue des Gorges 26, 2740 Moutier",,,+41324931669,2744
Schuppisser Yves,"Rue Centrale 76, 2740 Moutier",,,+41324931112,2744
Werth Confiserie Tea-Room,"Rue de l'Hôtel-de-Ville 10, 2740 Moutier",,,+41324931210,2744
Hôtel Oasis,"Rue des Oeuches 10, 2740 Moutier",info@hotel-oasis.ch,,+41324952020,2744
Sabor Português,"Rue de Soleure 25, 2740 Moutier",,,,2744
Cucina Italiana,"Rue de l'Hôtel-de-Ville 3, 2740 Moutier",,,+41324935965,2744
Le Double Bonheur,"Rue Centrale 72, 2740 Moutier",,,+41324933020,2744
Ristorante Pizzeria Sapori d'Italia,"Avenue de la Liberté 12, 2740 Moutier",,,+41324932222,2744
