name,address,email,website,phone,postalCode
Restaurant Piazzetta MMM Zentrum Oberland Thun-Süd,"Talackerstrasse 62, 3604 Thun",,http://www.zentrumoberland.ch/,+41333366652,3604
Rössli Dürrenast,"Frutigenstrasse 73, 3604 Thun",,,+41333343060,3604
Restaurant Schärmehof,"Von May-Strasse 43, 3604 Thun",,,+41333348292,3604
"Efendis Restaurant, Bar, Take Away","Talackerstrasse 55A, 3604 Thun",ycerker@hotmail.com,,+41333363755,3604
Hotel Alpha Thun Restaurant,"Gwattstrasse 4, 3604 Thun",welcome@alpha-thun.ch,,+41332237349,3604
Restaurant Hotel Holiday,"Gwattstrasse 1, 3604 Thun",info@holidaythun.ch,,+41333346767,3604
Migros Restaurant Panorama-Center,"Weststrasse 14, 3604 Thun",,,+41585672970,3604
Migros Restaurant Zentrum Oberland,"Talackerstrasse 62, 3604 Thun",,,+41585671800,3604
Strandbad Restaurant Thun,"Strandbadweg 10, 3604 Thun",,,+41333352580,3604
Coop,"Schulstrasse 32, 3604 Thun",,,+41333347740,3604
Gelateria Brüderli &Co,"Schulstrasse 21, 3604 Thun",,https://xn--gelateria-brderli-e3b.ch/cms/,+41774509239,3604
Schiffcatering Thunersee,"Lachenweg 19, 3604 Thun",,,+41583274834,3604
4 Jahreszeiten GmbH,"Frutigenstrasse 56, 3604 Thun",,,+41762032159,3604
Ambiente,"Schulstrasse 26, 3604 Thun",tom.72@sunrise.ch,,+41333357171,3604
Backerei Confiserie Galli AG,"Frutigenstrasse 56, 3604 Thun",,,+41333369101,3604
Holiday,"Gwattstrasse 1, 3604 Thun",,,+41333346767,3604
Le Roi Du Gout,"Asterweg 37, 3604 Thun",info@leroidugout.ch,,+41794746688,3604
Pizzeria La Vita,"Buchholzstrasse 26, 3604 Thun",,,+41791021783,3604
Pizzeria Lachen,"Stöckliweg 15, 3604 Thun",,,+41333341570,3604
Strandbad Thun,"Strandbadweg 10, 3604 Thun",,,+41333368191,3604
