name,address,email,website,phone,postalCode
Gasthaus Ochsen Berneck,"Neugass 8, 9442 Berneck",info@ochsen-berneck.ch,http://www.ochsen-berneck.ch/,+41717474721,9442
Frohe Aussicht,"Langmoosstrasse 3, 9442 Berneck",,,+41717441116,9442
Restaurant drei König,"Rathausplatz 9, 9442 Berneck",info@restaurant-drei-koenig.ch,,+41717409191,9442
Restaurant Tobelmühle,"Berneckerstrasse 7, 9442 Büriswilen",,,+41717441627,9442
Restaurant Traube,"Schlifistrasse 2, 9442 Berneck",,,+41717445937,9442
Brauerei,"Neugass 20, 9442 Berneck",,,+41717441172,9442
Heimat,"Husenstrasse 10, 9442 Berneck",,,+41717441324,9442
Restaurant Landhaus,"Taastrasse 37, 9442 Berneck",,,+41717441770,9442
Restaurant Lerchenfeld,"Hüslistrasse 3, 9442 Büriswilen",,,+41717441253,9442
Sternen,"Walzenhauserstrasse 28, 9442 Büriswilen",,,+41717441491,9442
