name,address,email,website,phone,postalCode
Chappeli Gastro GmbH,"Allerheiligenstrasse 218, 2540 Grenchen",,http://www.chappeli-grenchen.ch/,+41326534040,2540
Restaurant Fischerhaus,"Archstrasse 125, 2540 Grenchen",,,+41326529186,2540
Passage,"Marktplatz 7, 2540 Grenchen",,http://www.hotel-passage.ch/,+41326542010,2540
Restaurant Metzgerhalle,"Centralstrasse 29, 2540 Grenchen",,,+41326521677,2540
Mazzini Gastronomie AG,"Kirchstrasse 50, 2540 Grenchen",,,+41326529330,2540
Eldorado Café,"Centralstrasse 18, 2540 Grenchen",info@gassler-beck.ch,http://www.gasslerbeck.ch/,+41326529444,2540
Pizza Swiss,"Solothurnstrasse 58, 2540 Grenchen",,https://pizzaswiss-grenchen.business.site/,+41326451083,2540
Bistro Bambi,"Marktstrasse 6, 2540 Grenchen",bistro-bambi@bluewin.ch,,+41326532791,2540
foodlab caviezel,"Schützengasse 15, 2540 Grenchen",info@freestylecooking.ch,,+41326521601,2540
Hotel-Rest.-Bar Krebs,"Bettlachstrasse 29, 2540 Grenchen",info@hotelkrebs.ch,http://www.hotelkrebs.ch/,+41326522952,2540
Parktheater,"Lindenstrasse 41, 2540 Grenchen",info@parktheater.ch,,+41326549922,2540
freestylecooking GmbH,"Kastelsstrasse 109, 2540 Grenchen",info@freestylecooking.ch,,+41326521601,2540
Restaurant Gärtli,"Centralstrasse 48, 2540 Grenchen",,,+41794806303,2540
Restaurant Obergrenchenberg,"Obergrenchenberg 12, 2540 Grenchen",,,+41326521642,2540
Tennis-Chugele,"Flughafenstrasse 38, 2540 Grenchen",,,+41326530683,2540
Baracoa Restaurant & Bar,"Centralstrasse 2, 2540 Grenchen",baracoa@bluewin.ch,,+41326532275,2540
Grenchner Hof,"Bahnhofstrasse 6, 2540 Grenchen",info@grenchnerhof.ch,,+41326227171,2540
Restaurant Stierenberg,"Stierenberg, 2540 Grenchen",info@restaurant-stierenberg.ch,,+41326521644,2540
Airport,"Flughafenstrasse 123, 2540 Grenchen",reception@airporthotel.ch,,+41326547070,2540
Kleintiersiedlung Grenchen,"Witmattstrasse 89, 2540 Grenchen",,,+41765381837,2540
Restaurant Dani's Egge,"Ringstrasse 18, 2540 Grenchen",,,+41326450649,2540
Restaurant Moccafloor,"Centralstrasse 93, 2540 Grenchen",,,+41326534545,2540
Restaurant Schwimmbad Grenchen,"Neumattstrasse 30, 2540 Grenchen",,,+41326522175,2540
Staad,"Staadstrasse 214, 2540 Grenchen",,,+41326521133,2540
Untergrenchenberg,"Postfach, 2540 Grenchen 1",,,+41326521643,2540
La Focaccia,"Rainstrasse 22, 2540 Grenchen",,,+41326530852,2540
Scheidegger Création,"Moosstrasse 44, 2540 Grenchen",c.scheidegger@besonet.ch,,+41326529050,2540
Adana Bistro Imbiss,"Kirchstrasse 91, 2540 Grenchen",,,+41326520737,2540
McDonald's Restaurant,"Leimenstrasse 2, 2540 Grenchen",,,+41326524545,2540
Migros Restaurant Grenchen,"Freiestrasse 10, 2540 Grenchen",,,+41585677850,2540
Restaurant Familiengartenverein,"Witmattstrasse 91, 2540 Grenchen",gotteron24@gmx.net,,+41325013020,2540
Restaurant Feldschlösschen Madenkuyu,"Schmelzistrasse 31, 2540 Grenchen",,,,2540
SV Restaurant Velodrome / la musette,"Neumattstrasse 25, 2540 Grenchen",gastronomie@tissotvelodrome.ch,,+41326542055,2540
Coop,"Bachstrasse 2, 2540 Grenchen",,,+41326542400,2540
Gassler-Beck AG,"Jurastrasse 1, 2540 Grenchen",info@gassler-beck.ch,http://www.gasslerbeck.ch/,+41326521489,2540
BACK-CAFFEE AG,"Archstrasse 42, 2540 Grenchen",office@back-caffee.ch,,+41326521515,2540
Centro-Lounge,"Bettlachstrasse 8, 2540 Grenchen",centro.lounge@gmx.ch,,+41326530187,2540
Pizzeria Pomodoro,"Solothurnstrasse 139, 2540 Grenchen",restaurante@pomodoro-grenchen.ch,,+41326453540,2540
Backcafe,"Bahnhofstrasse 16, 2540 Grenchen",office@back-caffee.ch,,+41326533021,2540
China-Rest. Man Fu,"Bettlachstrasse 36, 2540 Grenchen",,,+41326524546,2540
Feel Good Music Bistro,"Bahnhofstrasse 33, 2540 Grenchen",Feelgoodmusicbistro@gmail.com,,+41764953959,2540
Food Habits,"Bündengasse 21, 2540 Grenchen",info@foodhabits.ch,,,2540
Foodlab Caviezel,"Schützengasse 15, 2540 Grenchen",info@freestylecooking.ch,,+41326521601,2540
La Trattoria am Girardplatz,"Girardstrasse 19, 2540 Grenchen",latrattoria@girardplatz.ch,,+41325103036,2540
Naifan 2,"Centralstrasse 52, 2540 Grenchen",,,+41800530245,2540
Untergrenchenberg,"Bergstrasse, 2540 Grenchen",info@untergrenchenberg.ch,,+41326521643,2540
Tennishalle Grenchen AG,"Flughafenstrasse 38, 2540 Grenchen",,,+41326530683,2540
Stäger Melanie,"Stierenberg, 2540 Grenchen",,,+41326521644,2540
Alterszentrum Kastels,"Kastelsstrasse 31, 2540 Grenchen",azkastels@azgrenchen.ch,http://www.azgrenchen.ch/,+41326540500,2540
