name,address,email,website,phone,postalCode
Gasthof Steinhof,"Landstrasse 46, 5436 Würenlos",info@steinhof-wuerenlos.ch,http://xn--steinhof-wrenlos-szb.ch/,+41564242849,8115
Gartenrestaurant Cafe am Bach,"Landstrasse 78, 5436 Würenlos",info-am-bach@bluewin.ch,https://www.gartenrestaurant-am-bach.ch/,+41564241844,8115
Restaurant Centrum 68,"Landstrasse 64, 5436 Würenlos",,https://www.centrum68-wuerenlos.ch/,+41564243940,8115
Restaurant Freihof,"Alte Landstrasse 11, 8955 Oetwil an der Limmat",,http://www.freihof-oetwil-ad-limmat.ch/,+41447480008,8115
Restaurant Alpenrösli,"Schulstrasse 25, 5436 Würenlos",,,+41564242119,8115
Restaurant Frohsinn,"Rütschigasse 1, 8112 Otelfingen",,,+41448442230,8115
Blume,"Dorfstrasse 30, 5436 Würenlos",,,+41564241217,8115
Restaurant Frohsinn,"Hauptstrasse 39, 8114 Dänikon ZH",,,+41448442291,8115
Rössli,"Landstrasse 77, 5436 Würenlos",,,+41564241360,8115
Restaurant Höfli,"Landstrasse 26, 8112 Otelfingen",,,+41448442455,8115
