name,address,email,website,phone,postalCode
Caveau La Vouettaz,"Rue de l'Eglise 27, 1955 St-Pierre-de-Clages",vouettaz@teltron.ch,http://www.collinededaval.ch/,+41273065364,1955
Buffet de la Gare,"Avenue de la Gare 2, 1955 St-Pierre-de-Clages",,https://www.buffetdelagarechamoson.ch/,+41273062396,1955
Le Centre,"Rue Centrale 9, 1955 Chamoson",,http://www.cafelecentre.ch/,+41273062295,1955
La Colline aux Oiseaux,"Ruelle de la Colline 2, 1955 Les Vérines (Chamoson)",,http://www.lacollineauxoiseaux.ch/,+41273064077,1955
Caveau de Chamoson,"Rue Saint-André 14, 1955 Chamoson",,,+41273065670,1955
OH!Berge Planeville,"Rue de Plane-Ville 24, 1955 Chamoson",ohberge@planeville.ch,,+41273066030,1955
Saint-André Le Bistrot,"Rue Saint-André 11, 1955 Chamoson",info@saint-andre.ch,,+41273062051,1955
Café le Vat',"Chemin Neuf 2, 1955 Chamoson",,,+41273061995,1955
Chez Madame SA,"Rue Vers-Croix 4A, 1955 Chamoson",,,+41273063333,1955
Pinte,"Rue de l'Eglise 30, 1955 St-Pierre-de-Clages",,,+41273062504,1955
Restaurant les Vérines,1955 Les Vérines (Chamoson),,,+41273067098,1955
Café-Restaurant La Préfecture,"Chemin de Rossaillenaz 1, 1955 Grugnay (Chamoson)",,,+41275652666,1955
Restaurant Le Temps de Vivre,"Route de Creux du Li, 1955 Mayens-de-Chamoson",,,+41276071997,1955
la p'tite maison,"Rue Saint-André 28, 1955 Chamoson",,,,1955
Auberge de la Croix Blanche,"Rue de l'Eglise 28, 1955 St-Pierre-de-Clages",gvuillerat@aubergecroixblanche.ch,,+41273064262,1955
Caveau Octogone,"Rue de l'Eglise 9, 1955 St-Pierre-de-Clages",caveau.octogone@bluewin.ch,,+41793734465,1955
