name,address,email,website,phone,postalCode
Zunftstube,"Espenmoosstrasse 1, 9008 St. Gallen",,,+41712453070,9008
Pizzeria Maestro,"Langgasse 75, 9008 St. Gallen",,,+41712801111,9008
Restaurant Schweizerbund,"Heimatstrasse 27, 9008 St. Gallen",,,+41719888178,9008
Restaurant Pizzeria Schweizerbund,"Heimatstrasse 27, 9008 St. Gallen",,,+41719888178,9008
Migros Restaurant St. Fiden,"Bachstrasse 29, 9008 St. Gallen",,,+41587129270,9008
Restaurant Indian Tandoori,"Lukasstrasse 8, 9008 St. Gallen",,,+41712601313,9008
Pizza Metro GmbH,"Bucheggstrasse 5, 9008 St. Gallen",,,+41712453505,9008
Bamboo Vietnam Food,"Kolumbanstrasse 65, 9008 St. Gallen",bamboovietnamfood@gmail.com,,+41712322228,9008
Cavallino Gastro GmbH,"Langgasse 5, 9008 St. Gallen",,,+41715112244,9008
Gustav Gleis,"Bachstrasse 10b, 9008 St. Gallen",,,+41772583726,9008
Gustav Gleis,"Bachstrasse 10d, 9008 St. Gallen",,,+41772583726,9008
Pizzeria Da Gerardo,"Langgasse 30, 9008 St. Gallen",alexandrina2136@gmail.com,,+41715531103,9008
Sushi Bar Leo,"Langgasse 7A, 9008 St. Gallen",sushibarleo@gmx.ch,,+41767661747,9008
BP-Tankstelle Heiligkreuz,"Langgasse 124, 9008 St. Gallen",,,+41712455243,9008
Eastside,"Langgasse 151, 9008 St. Gallen",,,+41715113121,9008
Golden Wok,"Langgasse 38, 9008 St. Gallen",info@goldenwokstgallen.com,,+41715252239,9008
Pizza und Imbiss Kurrier Lemore,"Langgasse 53, 9008 St. Gallen",,,+41712463333,9008
Trattoria Elba GmbH,"Bruggwaldstrasse 1A, 9008 St. Gallen",,,+41712440316,9008
F. Brändle Immo AG,"Goethestrasse 50, 9008 St. Gallen",sonja.braendle@immo-braendle.ch,http://www.immo-braendle.ch/,+41712452875,9008
