name,address,email,website,phone,postalCode
Il Fermento,"Gotthardstrasse 52, 6490 Andermatt",events@spaghettigastrogroup.com,http://www.ilfermento.ch/,+41418871050,6490
Gasthaus Skiklub,"Gotthardstrasse 94, 6490 Andermatt",info@gasthaus-skiklub.ch,http://www.gasthaus-skiklub.ch/,+41418870330,6490
Drei Könige und Post,"Gotthardstrasse 69, 6490 Andermatt",hotel@3koenige.ch,,+41418870001,6490
Toutoune,"Gotthardstrasse 91, 6490 Andermatt",,,+41418870176,6490
Restaurant Spycher,"Gotthardstrasse 65, 6490 Andermatt",,,+41418871753,6490
Gasthaus Piz Calmot,6490 Andermatt,,,+41582006830,6490
Gasthaus Tell,"Gotthardstrasse 97, 6490 Andermatt",,,+41418871520,6490
"Alp-Hittä, Nätschen","Oberalpstrasse, 6490 Andermatt",info@alpenschmaus.ch,,+41418880102,6490
Hotel Sonne,"Gotthardstrasse 76, 6490 Andermatt",,,+41418871226,6490
Jodlerwirt-die Schlagerbeiz,"Gotthardstrasse 163, 6490 Andermatt",,,+41418871662,6490
Schweizerhof-Central,"Gotthardstrasse 85, 6490 Andermatt",hotelschweizerhof@bluewin.ch,,+41418871189,6490
Bergrestaurant Gurschenalp,"Gotthardstrasse 110, 6490 Andermatt",,,+41582006920,6490
Monopol,"Gotthardstrasse 43, 6490 Andermatt",,,+41418871575,6490
Postillion,"Gotthardstrasse 50, 6490 Andermatt",,,+41418871044,6490
Soldatenstube,"Gotthardstrasse 36, 6490 Andermatt",,,+41418870098,6490
zum Sternen,"Gotthardstrasse 67, 6490 Andermatt",,,+41418871130,6490
Restaurant Adler,"Gotthardstrasse 82, 6490 Andermatt",adler.andermatt@gmail.com,,,6490
Restaurant Pizzaria Chuchichäschtli,"Oberalpstrasse 61, 6490 Andermatt",tommyundtheo@gmail.com,,+41415359710,6490
Spun - Restaurant Radisson Blu Hotel Reussen,"Radisson Blu Hotel Reussen Andermatt Bärengasse 1, 6490 Andermatt",,,,6490
The Restaurant at The Chedi Andermatt,"Gotthardstrasse 4, 6490 Andermatt",dining-chediandermatt@ghmhotels.com,,+41418887488,6490
Bären Restaurant Rooms,"Gotthardstrasse 137, 6490 Andermatt",,,+41418870303,6490
Restaurant James,"Gotthardstrasse 64, 6490 Andermatt",info@hotel-crown.ch,,+41418880303,6490
Restaurant Teufelsbrücke,"Gotthardstrasse, 6490 Andermatt",,,+41418851291,6490
The Japanese Restaurant,"Gotthardstrasse 4, 6490 Andermatt",,,+41418887488,6490
Bar Di Alt Apothek,"Gotthardstrasse 58, 6490 Andermatt",river@theriverhouse.ch,,+41418870025,6490
Chuchichäschtli Andermatt,"Oberalpstrasse 61, 6490 Andermatt",,,,6490
The Japanese by The Chedi Andermatt @ Gütsch,"Gotthardstrasse 4, 6490 Andermatt",japanese@chediandermatt.com,,+41418887488,6490
Vinothek 1620,"Gotthardstrasse 44, 6490 Andermatt",info@vinothek1620.ch,,+41792065199,6490
Baeckerei-cafe Baumann,"Gotthardstrasse 49, 6490 Andermatt",eduard-baumann@bluewin.ch,,+41418871238,6490
Bahnhofbuffet Andermatt,"Bahnhofstrasse 2, 6490 Andermatt",,,,6490
Bärbar,"Bärengasse, 6490 Andermatt",,,+41418881111,6490
Biselli,"Piazza Gottardo, 6490 Andermatt",,,+41582006905,6490
Café Oberalp,"Gotthardstrasse 49, 6490 Andermatt",andermatt@hauger.ch,,+41418871238,6490
Gasthaus Ochsen,"Gotthardstrasse 72, 6490 Andermatt",,,+41418871420,6490
Gurschen,"Bergrestaurant, 6490 Andermatt",,,+41582006920,6490
Gutsch by Markus Neff,"Gotthardstrasse 53, 6490 Andermatt",maren@guetsch.com,,+41582006907,6490
Jodlerwirt - die Schlagerbeiz in Andermatt,"Gotthardstrasse 163, 6490 Andermatt",andermatt@jodlerwirt.ch,,+41418871661,6490
Matti Familienrestaurant,"Nätschenmittelstation, 6490 Andermatt",,,+41582006915,6490
Pinte Pub&Club,"Gotthardstrasse 60, 6490 Andermatt",info@grey-hospitality.com,,+41418870151,6490
Schneehüenerstock,"Schneehüenerstock, 6490 Andermatt",,,+41582006908,6490
