name,address,email,website,phone,postalCode
Pur Restaurant,"Landstrasse 15, 9494 Schaan",,,+4232399700,9494
Restaurant Pizzeria Da Noi,"Im alten Riet 100, 9494 Schaan",,,+4232332343,9494
Restaurant Troya,"Bahnhofstrasse 1, 9494 Schaan",,,+4232321404,9494
Coconat Thai Kitchen,"Zollstrasse 3, 9494 Schaan",,,+41786426116,9494
Restaurant Break,"Im alten Riet 100, 9494 Schaan",info@break-restaurant.li,,+4237923046,9494
Restaurant Specki,"Birkenweg 2, 9494 Schaan",lukas.hilbe@adon.li,,+4232303555,9494
Orient Cafe & Restaurant,"Im Bretscha 7, 9494 Schaan",,,+4232300177,9494
Restaurant Forum,"Gapetschstrasse 87, 9494 Schaan",,,+4232325710,9494
Restaurant Rössle,"Landstrasse 48, 9494 Schaan",,,+4232321707,9494
Pizzeria Toscana,"Zollstrasse 82, 9494 Schaan",pizzeriatoscana@adon.li,,+4233730286,9494
Scanaua,"Landstrasse 30, 9494 Schaan",Reservation@scanaua.li,,+4237819909,9494
b'eat,"Im alten Riet 22, 9494 Schaan",,,+4232334333,9494
DA Dona,"Landstrasse 152, 9494 Schaan",,,,9494
La Piazza,"Landstrasse 5, 9494 Schaan",,,+4232321122,9494
Lio,"Poststrasse 2, 9494 Schaan",,,+4232321001,9494
Paradiseck,"Im Malarsch 11b, 9494 Schaan",,,,9494
Ristorante & Pizzeria Dolce Gusto,"Poststrasse 27, 9494 Schaan",,,,9494
Ha Long,"Zollstrasse 17, 9494 Schaan",,,+4232325326,9494
