name,address,email,website,phone,postalCode
Sur le Pont,"Rampe du Pont-Rouge 4, 1213 Petit-Lancy",surlepont@orif.ch,https://www.orif.ch/fr/nos-restaurants/sur-le-pont,+41223019224,1213
Braceria Gerardo Scalea,"Chemin de la Vendée 28, 1213 Petit-Lancy",,https://www.dai3fratelliscalea.ch/,+41227922292,1213
Café Restaurant de la Tour,"Chemin de la Bâtie 32, 1213 Petit-Lancy",cafedelatour32@gmail.com,http://www.cafedelatour.ch/,+41227939818,1213
la Ferme,"Route de Chancy 132, 1213 Onex",,,+41227921689,1213
Wasabi Sushi Bento Bar,"Route de Chancy 71, 1213 Petit-Lancy",,,+41227928808,1213
Restaurant le Commerce,"Route de Chancy 28, 1213 Petit-Lancy",info@restaurantlecommerce.ch,,+41227935131,1213
Caroll,"Chemin de la Caroline 18A, 1213 Petit-Lancy",,,+41227923798,1213
Courte-Paille,"Chemin de l'Auberge 4, 1213 Onex",,,+41227927155,1213
Pizzeria Café des Ormeaux,"Route de Chancy 25, 1213 Petit-Lancy",,https://www.pizzeria-les-ormeaux.ch/,+41227920262,1213
Brasserie St-Georges,"Route du Pont-Butin 12, 1213 Petit-Lancy",,http://www.saint-georges.ch/,+41227936445,1213
La Petite Vendée SA,"Chemin de la Vendée 20, 1213 Petit-Lancy",,,+41227921415,1213
Café Laner,"Rue de Bandol 1, 1213 Onex",,,+41227925870,1213
Felicita,"Chemin Victor-Duret 30, 1213 Onex",,,+41227922040,1213
"Onex Kebap, Arslan Seydi","Avenue Bois-de-la-Chapelle 106, 1213 Onex",,,+41227927278,1213
Restaurant Asmara,"Avenue du Gros-Chêne 38, 1213 Onex",,,+41227922470,1213
Restaurant Chinois le Coral,"Route de Chancy 27, 1213 Petit-Lancy",,,+41227939460,1213
Restaurant du Lancy Tennis Club,"Chemin de la Solitude 9, 1213 Petit-Lancy",,,+41227921090,1213
St-Georges Le Capucin,"Avenue du Cimetière 12, 1213 Petit-Lancy",info@lecapucin.ch,,+41227933980,1213
La Cité Fleurie SA,"Chemin de l'Echo 3, 1213 Onex",info@lacitefleurie.ch,,+41227930350,1213
Auberge Communale Onex,"Route de Loëx 18, 1213 Onex",,,+41227923259,1213
Café Rio,"Chemin de la Caroline 2-4, 1213 Petit-Lancy",rcafe@hotmail.ch,,+41227921898,1213
Cafétéria Mécanique,"Avenue Louis-Bertrand 38, 1213 Petit-Lancy",,,+41227932626,1213
Coral,"Route de Chancy 27, 1213 Petit-Lancy",,,+41227939460,1213
Divan,"Route de Saint-Georges 81, 1213 Petit-Lancy",,,+41227929680,1213
La Table des Artisans,"Rue Gaudy-Le-Fort 14, 1213 Onex",,,+41227921900,1213
La Terrasse,"Route de Saint-Georges 73, 1213 Petit-Lancy",,,+41227936200,1213
Restaurant Scolaire CFPC,"Chemin Gérard-De-Ternier 18, 1213 Petit-Lancy",,,+41227922545,1213
La Tranche Gerardo Scalea,"Chemin de la Vendée 28, 1213 Petit-Lancy",,http://www.latranche.ch/,+41227939333,1213
HAVA-MAHAL,"Chemin de la Caroline 18A, 1213 Petit-Lancy",,,+41782022700,1213
Copacabana Restaurant & Burger,"Avenue du Petit-Lancy, 1213 Petit-Lancy",infos.copacabana@gmail.com,,+41227933030,1213
Restaurant café du Gros Chêne,"Avenue des Grandes-Communes 27, 1213 Onex",,,+41225351908,1213
Restaurant de la piscine,"Rue des Bossons 5, 1213 Onex",,,+41227929357,1213
Télé-Restaurant SA,"Route de Chancy 76, 1213 Onex",info@tele-restaurant.ch,,+41229898080,1213
Coop,"Rue des Bossons 17-19, 1213 Onex",,,+41228709460,1213
Café Laner - Chez Carla & Nuno,"rue de Bandol 1, 1213 Onex",,,,1213
Fourneaux du Manège,"Route de Chancy 127, 1213 Onex",info@fourneauxdumanege.ch,,+41228700390,1213
Simeoni Fleurs,"Avenue du Cimetière 2, 1213 Petit-Lancy",info@simeonifleurs.ch,,+41227922528,1213
Tacos Du Chef,"Chemin de la Caroline 18a, 1213 Petit-Lancy",info@tacosduchef.ch,,+41763862982,1213
Brasserie Lancy Parc,"Avenue des Morgines 1, 1213 Petit-Lancy",,,+41227927244,1213
Café de la Poste,"Route de Chancy 135, 1213 Onex",,,+41228700947,1213
Club House TC Lancy,"Chemin de la Solitude 9, 1213 Petit-Lancy",,,+41227921090,1213
Kebab Du Marche,"Avenue des Grandes-Communes 27, 1213 Onex",,,+41228701086,1213
La Bricole,"Route de Chancy 76, 1213 Onex",,,+41228700507,1213
Le Douro,"Chemin Victor-Duret 56, 1213 Onex",,,+41228709889,1213
Onex,"Route de Chancy 111, 1213 Onex",,,+41227928451,1213
Ozer Kebap,"Avenue des Morgines 1, 1213 Petit-Lancy",,,+41227936730,1213
Restaurants & Cuisines scolaires d'Onex,"Chemin François-Chavaz 62, 1213 Onex",,,+41227920036,1213
Top 10,"Avenue du Petit-Lancy 3, 1213 Petit-Lancy",,,+41228700505,1213
Da Silva Ribeiro Jose Maria,"Chemin Victor-Duret 56, 1213 Onex",,,+41228709889,1213
Pereira Joaquim,"Rue des Racettes 53, 1213 Onex",,,+41227933467,1213
