name,address,email,website,phone,postalCode
La Gondola Veneziana,"Grand-Rue 89, 1844 Villeneuve VD",sabine.spicher@hotmail.com,http://www.la-gondola-veneziana.ch/,+41219603136,1844
L'Oasis,"Quai Grand'Rives 6, 1844 Villeneuve VD",,http://www.restaurantoasis.ch/,+41219656020,1844
Il Passaggio,"Chemin de la Confrérie 117, 1844 Villeneuve VD",,,+41215554717,1844
Café Restaurant du Nord,"Avenue Comtes de Savoie 6, 1844 Villeneuve VD",carlo.provenzano@bluewin.ch,http://www.cafedunord-villeneuve.ch/,+41219601131,1844
Eléphant Blanc,"Quai Grand'Rives 12, 1844 Villeneuve VD",elephantblancvilleneuve@gmail.com,http://www.elephantblanc.ch/,+41219601268,1844
BROENNI COMPANY Sàrl,"Zone Industrielle C 73, 1844 Villeneuve VD",info@le73.ch,http://www.le73.ch/,+41219681414,1844
Restaurant les horizons bleus,"Quai Grand'Rives 11, 1844 Villeneuve VD",,,+41219681615,1844
La Tour Rouge Sàrl,"Rue des Narcisses 3, 1844 Villeneuve VD",,,+41219681186,1844
Restaurant de l'Aigle,"Grand-Rue 48, 1844 Villeneuve VD",,,+41219681416,1844
le Château,"Grand-Rue 91, 1844 Villeneuve VD",,,+41219602009,1844
bienveillance,"Grand-Rue 20, 1844 Villeneuve VD",,,+41219602122,1844
l'Etoile,"Grand-Rue 74, 1844 Villeneuve VD",,,+41219602240,1844
Sushi Villeneuve,"Grand-Rue 40, 1844 Villeneuve VD",,,+41219602531,1844
Le Pressoir - Restaurant - Bar - Lounge,"Grand-Rue 29, 1844 Villeneuve VD",info@brasserielepressoir.ch,,+41219601913,1844
Restaurant du Soleil,"Grand-Rue 20, 1844 Villeneuve VD",,,+41219604206,1844
Pizzeria Gusto Italiano,"Grand-Rue 28, 1844 Villeneuve VD",pizzeria@Gusto-Italiano-Villeneuve.ch,https://www.gusto-italiano-villeneuve.ch/,+41219601515,1844
Bo bun,"Grand-Rue 32, 1844 Villeneuve VD",hello@bobun.ch,,+41779423524,1844
Gusto Italiano Villeneuve Sàrl,"Grand-Rue 28, 1844 Villeneuve VD",,,+41787250367,1844
Ivy Brasserie Lounge,"Quai Grand'Rives 3, 1844 Villeneuve VD",,,,1844
Wok Royal Villeneuve,"ZI D 107, 1844 Villeneuve VD",,,,1844
Buvette Horizon Bleu,"Quai Grand'Rives 11, 1844 Villeneuve VD",rocheray@camping-club-vaudois.ch,,+41219601547,1844
Indian Paradise,"Grand-Rue 90, 1844 Villeneuve VD",,,+41796658830,1844
Ivy Brasserie Lounge,"Quai Grand'Rives 3, 1844 Villeneuve VD",,,+41219604747,1844
La Romantica,"Grand-Rue 34, 1844 Villeneuve VD",,,+41219601540,1844
White Horse Burger,"Grand-Rue 30, 1844 Villeneuve VD",,,+41219601366,1844
INDIAN FOOD,"Grand-Rue 90, 1844 Villeneuve VD",,,+41219681153,1844
