name,address,email,website,phone,postalCode
BAR RISTORANTE PIZZERIA STELLA,"Via Stella 13, 6850 Mendrisio",info@stellamendrisio.ch,http://www.stellamendrisio.ch/,+41916467228,6850
Il Fermento,"Largo Mario Soldini 1, 6850 Mendrisio",events@spaghettigastrogroup.com,http://www.ilfermento.ch/,+41916461898,6850
Mezza Luna,"Via Stella 10, 6850 Mendrisio",,,+41916461511,6850
Atenaeo del vino,"Via Pontico Virunio 1, 6850 Mendrisio",,http://www.atenaeodelvino.ch/,+41916300636,6850
Grotto San Martino,"Viale alle Cantine 30, 6850 Mendrisio",,http://www.grottosanmartino.ch/,+41916465312,6850
Grütli ristorante pizzeria,"Piazzetta Luigi Fontana 3, 6850 Mendrisio",info@ristorantegrutli.com,https://www.ristorantegrutli.com/,+41912252260,6850
PUNTO del Gusto,"Via Luigi Lavizzari 20, 6850 Mendrisio",puntodelgusto@bluewin.ch,https://puntodelgusto.ch/,+41779451057,6850
Grotto Bundi-Romelli,"Viale alle Cantine 24, 6850 Mendrisio",info@grottobundi.com,,+41916467089,6850
Aquafaba Restaurant & TakeAway,"Via Alfonso Turconi 9, 6850 Mendrisio",aquafaba.ch@gmail.com,https://www.aquafaba-restaurant.ch/,+41787146092,6850
libreria dei ragazzi + bar sagl,"Via Paolo Torriani 9A, 6850 Mendrisio",,http://www.libreriadeiragazzi.ch/,+41916463983,6850
Antico Grotto Ticino,"Viale alle Cantine 20, 6850 Mendrisio",,,+41916467797,6850
La Fortuna,"Via Francesco Borromini 20, 6850 Mendrisio",,,+41916461589,6850
Osteria Lanterna,"Viale alle Cantine 10, 6850 Mendrisio",,,+41916468500,6850
Ristorante Pizzeria Liceo,"Via Agostino Maspoli 37, 6850 Mendrisio",,,+41916462022,6850
Anatolia,"Via Luigi Lavizzari 2CP 1, 6850 Mendrisio",info@anatolia-tr.ch,,+41916302255,6850
Hotel Coronado,"Via Francesco Borromini 10, 6850 Mendrisio",info@hotelcoronado.ch,,+41916303030,6850
Sport,"Piazzetta Luigi Fontana 2, 6850 Mendrisio",garnisport@bluewin.ch,,+41916461560,6850
Ristorante Foxgrill,"Via Angelo Maspoli 18, 6850 Mendrisio",,,+41916460356,6850
Banchette,"Via Agostino Maspoli 73, 6850 Mendrisio",,,+41916466453,6850
Iris,"Via Giuseppe Motta 26, 6850 Mendrisio",,,+41916469996,6850
La Quercia,"Via Franchini 5, 6850 Mendrisio",,,+41916460000,6850
Osteria del Tennis,"Via M. Ghioldi-Schweizer 8, 6850 Mendrisio",,,+41916465582,6850
Piccadilly SA,"Via Giorgio Bernasconi 31, 6850 Mendrisio",,,+41916460207,6850
Pizzeria FoxTown,"Via Angelo Maspoli 18, 6850 Mendrisio",,,+41916302781,6850
Ristorante Baraonda Music Cocktail Bar,"Via Moree 9, 6850 Mendrisio",,,+41916466131,6850
Snack Bar Il Filosofo,"Via Pontico Virunio 3, 6850 Mendrisio",,,+41916302285,6850
Varese,"Viale Stefano Franscini 16, 6850 Mendrisio",,,+41916468193,6850
McDonald's Restaurant,"Via Angelo Maspoli 17, 6850 Mendrisio",,,+41916461440,6850
Pizzeria La Pignatta Restaurant,"Viale Stefano Franscini 6, 6850 Mendrisio",info@hotel-milano.ch,,+41916465741,6850
Moka Efti,"Via Angelo Maspoli 4, 6850 Mendrisio",info@mokaefti.ch,http://www.mokaefti.ch/,+41800851001,6850
BAOHAUS,"Piazzetta Luigi Fontana 1, 6850 Mendrisio",,http://www.baohaus.ch/,+41799686314,6850
Albergo Milano,"Via Giuseppe Motta 2, 6850 Mendrisio",info@hotel-milano.ch,,+41916465741,6850
Snack Bar Champion's,"Via Pollini 29, 6850 Mendrisio",,,+41916461372,6850
Chalet Suisse,"Via Angelo Maspoli 18, 6850 Mendrisio",info@foxtown.ch,,+41916462111,6850
Növ Matag,"Via Gismonda 13, 6850 Mendrisio",,,+41916468696,6850
Old Wild West,"Via Penate 7, 6850 Mendrisio",mendrisio@oldwildwest.it,,+41916469001,6850
Osteria Vignetta,"Via Alfonso Turconi 36, 6850 Mendrisio",info@vignetta.ch,,+41916462987,6850
Ristorante Melamangio 100% Veg,"Corso Bello 9, 6850 Mendrisio",,,+41916460404,6850
Ristorante Morgana,"Via Carlo Maderno 12, 6850 Mendrisio",info@hotelmorgana.ch,,+41916462355,6850
Ristorante pizzeria Cercera,"Via Cercera 22, 6850 Mendrisio",cercera@sunrise.ch,,+41916301930,6850
Urb'En Bar,"Via Vincenzo Vela 9, 6850 Mendrisio",info@urben-bar.ch,,+41912260033,6850
Antica Osteria Tremona,"Tremona 6865, 6850 Mendrisio",,,+41916467545,6850
Bikers Bar Bistrot,"Via Francesco Borromini 18, 6850 Mendrisio",,,,6850
Cherry's snack-bar,"Via Praella 13, 6850 Mendrisio",,,+41916469676,6850
Dolce Tentazione SA,"Via Angelo Maspoli 7, 6850 Mendrisio",,,+41916469748,6850
Federale Starna,"Via San Gottardo 53, 6850 Mendrisio",,,,6850
Gelateria Artigianale,"Viale Stefano Franscini 15, 6850 Mendrisio",,,,6850
Golosi di Natura,"Largo Bernasconi 5, 6850 Mendrisio",,,+41912252606,6850
Grotto Eremo San Nicolao,"Via San Nicolao, 6850 Mendrisio",,,+41916464050,6850
Il Divino Gusto,"Via Franchini 20, 6850 Mendrisio",,,+41765140333,6850
Kahlùa,"Via Angelo Maspoli 11, 6850 Mendrisio",,,+41912291355,6850
Kentucky Fried Chicken,"Via Francesco Borromini 6, 6850 Mendrisio",,,+41916461382,6850
La Birraria Steakhouse,"Piazzale Roncaa, 6850 Mendrisio",info@labirraria.ch,,+41916300330,6850
Rio Grande,"Via Carlo Maderno 12, 6850 Mendrisio",info@hotel-morgana.ch,,+41916462355,6850
