name,address,email,website,phone,postalCode
Hotel & Restaurant zum Schneggen,"Hauptstrasse 72, 5734 Reinach AG",,http://schneggen.ch/,+41627711035,5735
Sixpresso Café,"Breitestrasse 58, 5734 Reinach AG",sixpresso@bluewin.ch,,+41627712753,5735
Life Point Atalay Uygar,"Bahnhofstrasse 5C, 5734 Reinach AG",,,+41627721289,5735
SixPresso-Grill,"Breitestrasse 58, 5734 Reinach AG",,,+41627712200,5735
Central,"Hauptstrasse 36, 5734 Reinach AG",,,+41627714343,5735
Restaurant Hollywood,"Hauptstrasse 22, 5737 Menziken",,,+41627712626,5735
Restaurant Treff,"Hauptstrasse 27, 5734 Reinach AG",,,+41627712213,5735
Restaurant Züribeck,"Pfistergasse 8, 5734 Reinach AG",,,+41792929218,5735
Restaurant Hotel Bären,"Hauptstrasse 64, 5734 Reinach AG",,,+41627720027,5735
Restaurant Waldegg,"Waldeggstrasse 1, 5737 Menziken",,,+41627715656,5735
Coop,"Obere Stumpenbachstrasse 134, 5734 Reinach AG",,,+41627656317,5735
Arooi Maak,"Hauptstrasse 27, 5734 Reinach AG",info@arooi-maak.ch,,+41627714700,5735
Life point Gastro GmbH,"Bahnhofstrasse 5C, 5734 Reinach AG",,,+41627717448,5735
O'Hanlons Irish Pub,"Pfistergasse 5, 5734 Reinach AG",info@ohanlons.ch,,+41774682894,5735
Gemeindeverwaltung Reinach AG,"Hauptstrasse 66, 5734 Reinach AG",gemeinde@reinach.ch,,+41627651212,5735
BrauGarage,"Hauptstrasse 70A, 5734 Reinach AG",,,+41764240100,5735
Pizzeria Piccola,"Winkelstrasse 3, 5734 Reinach AG",,,+41627720404,5735
Senevita Homberg,"Wynastrasse 1, 5734 Reinach AG",homberg@senevita.ch,http://www.giesserei.senevita.ch/,+41625112131,5735
