name,address,email,website,phone,postalCode
Auberge du Soleil SA,"Place du Soleil 1, 1183 Bursins",,https://www.aubergedusoleil.ch/,+41218241344,1183
Hôtel-Restaurant de l'Union,"Route de la Perrette 2, 1183 Bursins",,http://www.malakoff.ch/,+41218241204,1183
Marché Restaurant Suisse SA,1183 Bursins,,,+41218240022,1183
Café Leistkamm,"Chapfstrasse 1183, 8873 Amden",,,+41556111265,1183
Boulangerie Pâtisserie Tea-Room Fayet,"Place du Soleil 3, 1183 Bursins",fayet.christian@bluewin.ch,https://boulangerie-fayet.business.site/,+41218242827,1183
Oenotheque Bar Lounge,"Route de l'Etraz 6, 1183 Bursins",contact@cavebeetschen.ch,,+41794762917,1183
boulangerie Fayet,"Grand-Rue 4, 1183 Bursins",,,,1183
Burger King,"Restauroute Relais de la Côte A1, 1183 Bursins",,,+41228240022,1183
Marché La Côte Lac,1183 Bursins,,,+41218240021,1183
Zigolini Café La Cote Jura,"Restoroute Relais De La Cote, 1183 Bursins",,,+41218240022,1183
