name,address,email,website,phone,postalCode
Arvenbüel,"Arvenbüelstrasse 47, 8873 Amden",info@arvenbuel.ch,http://www.arvenbuel.ch/,+41556116010,8873
Restaurant Holzstübli,"Holz 419, 8873 Amden",info@holzstuebli.ch,,+41556111929,8873
Hotel Sonne,"Dorfstrasse 36, 8873 Amden",info@sonne-amden.ch,,+41556111717,8873
Arvenhöhe,"Arvenbüelstrasse 2, 8873 Amden",,,+41556111292,8873
Café Leistkamm,"Chapfstrasse 1183, 8873 Amden",,,+41556111265,8873
VITO Schweiz/FL,"Dorfstrasse 37d, 8873 Amden",t.thoma@vito.ag,http://www.vito-schweiz.ch/,+41556115104,8873
Restaurant Rössli,"Dorfstrasse 37, 8873 Amden",info@roessli-amden.ch,,+41556111194,8873
Amden Schaefli Restaurant,"Dorfstrasse 49, 8873 Amden",schaeflihotel@gmail.com,,+41765254678,8873
Restaurant Walau,8873 Amden,,,+41556115060,8873
Cafe Löwen,"Dorfstrasse 21, 8873 Amden",amden@baeckerei-wick.ch,,+41556111118,8873
