name,address,email,website,phone,postalCode
Gasthof Kreuz Egerkingen,"Oltnerstrasse 11, 4622 Egerkingen",kreuz@kreuz.ch,http://www.kreuz.ch/,+41623980333,4622
Gasthof von Arx,"Bahnhofstrasse 2, 4622 Egerkingen",,http://www.gasthof-vonarx.ch/,+41623981777,4622
Restaurant Polarsterne,"Solothurnerstrasse 8, 4622 Egerkingen",,http://restaurantpolarsterne.ch/,+41625305925,4622
Denis Grill Kebab Haus,"Lindenhagstrasse 3, 4622 Egerkingen",,,+41623985566,4622
Blüemlismatt,4622 Egerkingen,,,+41623981468,4622
Migros Restaurant Gäupark,"Hausimollstrasse 1, 4622 Egerkingen",,,+41585677630,4622
McDonald's Restaurant,"Oltnerstrasse 502, 4622 Egerkingen",,,+41623980808,4622
Restaurant Halbmond,"Solothurnerstrasse 8, 4622 Egerkingen",,,+41623981919,4622
SUBWAY® Restaurant Egerkingen,"Lindenhagstrasse 1, 4622 Egerkingen",,,+41622961592,4622
Mövenpick Hotel Egerkingen,"Höhenstrasse 12, 4622 Egerkingen",,,+41623891919,4622
Ciao,"Lehenstrasse 12, 4622 Egerkingen",hotel.egerkingen@moevenpick.com,,+41623891919,4622
Subway,"Lindenhagstrasse 1, 4622 Egerkingen",egerkingen@footlong.ch,,+41627885008,4622
Hotel Egerkingen,"Oltnerstrasse 22, 4622 Egerkingen",,,+41623877575,4622
La Muetta,"Lehenstrasse 12, 4622 Egerkingen",hotel.egerkingen@moevenpick.com,,+41623891919,4622
Rosi Handel GmbH,"Industriestrasse 28, 4622 Egerkingen",,,+41623984490,4622
Snack Kiosk A2 Eggberg,"Oltnerstrasse 22, 4622 Egerkingen",,,,4622
Coop,"Hausimollstrasse 3, 4622 Egerkingen",,,+41623878340,4622
