name,address,email,website,phone,postalCode
Restaurant Ganni,"Leis 208, 7132 Vals",,,+41819351354,7132
Alpenrose,7132 Vals,,,+41819351140,7132
Hotel Steinbock Vals,"Valé 199C, 7132 Vals",info@hotel-steinbock.ch,http://www.hotel-steinbock.ch/,+41819351313,7132
Alpina Vals,7132 Vals,info@hotel-alpina-vals.ch,,+41819207040,7132
7132 Glenner Hotel,"Valéstrasse 132, 7132 Vals",hotel@glenner.ch,,+41819351115,7132
Pizzeria La Cucina und Diavolo Tüüfelstei,"Im Boda 512, 7132 Vals",,,+41819351303,7132
Restaurant daPapà,7132 Vals,,,+41587132028,7132
Restaurant Gasthaus Edelweiss,7132 Vals,info@edelweiss-vals.ch,,+41819351133,7132
DIAVOLO zum Tüfelstei,7132 Vals,,,+41819351303,7132
7132 BLUE,"Poststrasse 560, 7132 Vals",hotel@7132.com,,+41587132000,7132
7132 RED,"Poststrasse 560, 7132 Vals",hotel@7132.com,,+41587132000,7132
7132 SILVER,"Poststrasse 560, 7132 Vals",hotel@7132.com,,+41587132000,7132
Bergrestaurant Gadastatt,"Valé 7132, 7132 Vals",gastro@vals3000.ch,,+41793929111,7132
Buendner Stuben,"Im Boda 512, 7132 Vals",info@rovanada.ch,,+41819351303,7132
Dachberghütte,"Poststrasse 45, 7132 Vals",Visitvals@vals.ch,,,7132
Haengela,"Glüs 51e, 7132 Vals",info@haengela.ch,,+41791054742,7132
Schnider Café,"Poststrasse 34d, 7132 Vals",,,,7132
Edelweiss,"Platz, 7132 Vals",,,+41819351133,7132
7132 Hotel,7132 Vals,hotel@7132.com,,+41587132000,7132
Sportbahnen Vals AG,7132 Vals,,,+41819351550,7132
